Question,Category,Type,Option1,Option2,Option3,Option4,Owner
What qualities do you admire about your parents?,Deep,Subjective,,,,,
Why do you think that you're still single?,Deep,Subjective,,,,,
What’s something you can’t go a day without doing?,Deep,Subjective,,,,,
What are three things you value most about a person?,Deep,Subjective,,,,,
What’s closest you’ve ever come to being arrested?,Deep,Subjective,,,,,
Do you believe in fate?,Deep,Subjective,,,,,
Is home for you a place or a feeling?,Deep,Subjective,,,,,
If you could have the option of eradicating pain from your life would you choose to do so?,Deep,Subjective,,,,,
Do you believe in other dimensions and parallel universes?,Deep,Subjective,,,,,
Presented with the opportunity to be immortal would you take it?,Deep,Subjective,,,,,
"If you were given a choice to choose your manner of death, how would you die?",Deep,Subjective,,,,,
"If you were given a chance to explore the oceans, go to outer space or visit 50 different countries, which one you choose and why?",Deep,Subjective,,,,,
Do you think that men are more rational and women are more emotional?,Deep,Subjective,,,,,
"Out of the negative emotions of greed, anger, jealousy and hate, which one would you say affects you the most?",Deep,Subjective,,,,,
"Out of the positive emotions of compassion, positivity, enthusiasm and initiative, which one is your biggest strength?",Deep,Subjective,,,,,
Do you believe in materialism or spirituality?,Deep,Subjective,,,,,
What is the most romantic and loving thing you have ever done for somebody?,Deep,Subjective,,,,,
Have you ever kissed someone of the same sex?,Deep,Subjective,,,,,
"A building is on fire, do you save a sibling or 4 strangers?",Deep,Subjective,,,,,
"You could cure all disease in the world forever, but to do so you have to murder one innocent child, would you do it?",Deep,Subjective,,,,,
"If you had to choose between friendship or a relationship, which one would you choose?",Deep,Subjective,,,,,
"Would you rather have no personality and a great voice or have a great personality, but a horrible voice?",Deep,Subjective,,,,,
Would you live your life differently if nobody would ever judge you for anything you did?,Deep,Subjective,,,,,
"If your fiance suddenly had an accident that turn him/her paraplegic, would you still marry him/her or back out?",Deep,Subjective,,,,,
Do you consider yourself a good friend?,Deep,Subjective,,,,,
"If you could live in any era, which would it be and why?",Deep,Subjective,,,,,IG - Justmayor
"When things break, do you prefer to fix them or replace them?",Deep,Subjective,,,,,IG - Justmayor
Would you consider yourself materialistic?,Deep,Subjective,,,,,IG - Justmayor
"Would you consider yourself an optimist, pessimist, or realist?",Deep,Subjective,,,,,IG - Justmayor
Why do you think the divorce rate is so high nowadays?,Deep,Subjective,,,,,IG - Justmayor
Are you pro-choice or pro-life?,Deep,Objective,Pro-Choice,Pro-Life,,,IG - Justmayor
Do you think a person’s outward appearance says anything about who they are as a person?,Deep,Subjective,,,,,IG - Justmayor
"If your significant other had to move far away, would you be able to handle a long-distance relationship?",Deep,Subjective,,,,,IG - Justmayor
Do you believe emotional 'cheating' is just as bad as real cheating?,Deep,Subjective,,,,,IG - Justmayor
What do you think of open relationships?,Deep,Subjective,,,,,IG - Justmayor
Are you looking for commitment?,Deep,Subjective,,,,,IG - Justmayor
Do you believe there is good in everyone?,Deep,Subjective,,,,,IG - Justmayor
"Do you believe in the phrase ""opposites attract""?",Deep,Subjective,,,,,IG - Justmayor
What roles do love and affection play in your life?,Deep,Subjective,,,,,IG - Justmayor
Would you rather have more time or more money?,Deep,Objective,More Time,More Money,,,IG - Justmayor
Would you rather win the lottery or live twice as long?,Deep,Objective,Lottery,Live Twice,,,IG - Justmayor
How would you feel if no one showed up to your wedding?,Deep,Subjective,,,,,IG - Justmayor
"For your birthday, would you rather receive cash or gifts?",Deep,Objective,Cash,Gifts,,,IG - Justmayor
Would you rather go on a cruise with friends or with your spouse?,Deep,Objective,Friends,Spouse,,,IG - Justmayor
"When you’re old, would you rather die before or after your spouse?",Deep,Objective,Before,After,,,
What's an ideal age to get marriaged for a Man?,Deep,Subjective,,,,,
What's an ideal age to get marriaged for a woman?,Deep,Subjective,,,,,
"Do you play any musical instrument? If yes, what instrument?",Deep,Subjective,,,,,
Would you rather spend 20 years in prison and be exonerated as innocent or be put away for 4 years (despite your innocence) and be considered guilty forever?,Deep,Objective,20 Years,4 Years,,,
Whar is your fondest childhood memory?,Deep,Subjective,,,,,
What's the craziest thing you have ever done?,Deep,Subjective,,,,,
"What’s your defination of ""LOVE"" ?",Deep,Subjective,,,,,
How would your best friend describe you?,Deep,Subjective,,,,,
"If you could change one law, what would It be?",Deep,Subjective,,,,,
What do you take for granted?,Deep,Subjective,,,,,
When is it acceptable if ever to disobey the law?,Deep,Subjective,,,,,
What makes you feel most empowered?,Deep,Subjective,,,,,
What is something that you are embarrassed by because you're so good at it?,Deep,Subjective,,,,,
"What does ""HONOR"" mean to you?",Deep,Subjective,,,,,
What values do you think are critical to communicate to younger men?,Deep,Subjective,,,,,
What values do you think are critical to communicate to younger women?,Deep,Subjective,,,,,
What's one thing that should be taught in school that is not currently taught?,Deep,Subjective,,,,,
What makes you angry about your country?,Deep,Subjective,,,,,
What bridges are you happy to burn?,Deep,Subjective,,,,,
What makes you uncomfortable?,Deep,Subjective,,,,,
Have you ever broken someone's heart?,Deep,Subjective,,,,,
How important is freedom of speech in a healthy society?,Deep,Subjective,,,,,
"What do you define as ""FAMILY"" ?",Deep,Subjective,,,,,
In what ways are you a Leader? In what ways are you a follower?,Deep,Subjective,,,,,
